iteracion, tot_iter, rss_train, rss_val, grad_norm, lr, tiempo
1,50, 1.304870, 1.304940, 1.292789 ,0.030000, 0.072061
2,50, 1.157316, 1.157345, 1.467777 ,0.029970, 0.146960
3,50, 1.052280, 1.052253, 1.055425 ,0.029940, 0.219299
4,50, 1.006207, 1.006152, 0.259591 ,0.029910, 0.294474
5,50, 1.000481, 1.000508, 0.345482 ,0.029880, 0.370910
6,50, 1.000160, 1.000275, 0.297655 ,0.029850, 0.443412
7,50, 0.999135, 0.999259, 0.127303 ,0.029820, 0.515919
8,50, 0.999693, 0.999721, 0.202270 ,0.029791, 0.588429
9,50, 0.997258, 0.997303, 0.325503 ,0.029761, 0.662689
10,50, 0.995676, 0.995926, 0.279783 ,0.029731, 0.735053
11,50, 0.995087, 0.995414, 0.232991 ,0.029701, 0.809278
12,50, 0.996114, 0.996430, 0.359919 ,0.029672, 0.881417
13,50, 0.994357, 0.994609, 0.376820 ,0.029642, 0.955396
14,50, 0.994805, 0.994963, 0.288218 ,0.029612, 1.034289
15,50, 0.999742, 0.999771, 0.181457 ,0.029583, 1.106382
16,50, 1.000353, 1.000320, 0.353576 ,0.029553, 1.180709
17,50, 0.995812, 0.995815, 0.565248 ,0.029524, 1.255027
18,50, 0.998300, 0.998414, 0.450922 ,0.029494, 1.329078
19,50, 0.997193, 0.997322, 0.240056 ,0.029465, 1.401235
20,50, 0.996968, 0.997150, 0.206711 ,0.029435, 1.475361
21,50, 0.996160, 0.996359, 0.300337 ,0.029406, 1.550259
22,50, 0.992477, 0.992655, 0.170660 ,0.029376, 1.624924
23,50, 0.990818, 0.990987, 0.363506 ,0.029347, 1.698580
24,50, 0.991410, 0.991575, 0.470805 ,0.029318, 1.771336
25,50, 0.992162, 0.992246, 0.145763 ,0.029288, 1.843796
26,50, 0.993988, 0.994026, 0.284276 ,0.029259, 1.917116
27,50, 0.998660, 0.998607, 0.207299 ,0.029230, 1.988773
28,50, 1.002548, 1.002435, 0.292465 ,0.029200, 2.063944
29,50, 1.001904, 1.001899, 0.435316 ,0.029171, 2.136361
30,50, 0.994852, 0.995034, 0.372000 ,0.029142, 2.208883
31,50, 0.999169, 0.999498, 0.252937 ,0.029113, 2.281324
32,50, 0.996259, 0.996667, 0.197767 ,0.029084, 2.353912
33,50, 0.992966, 0.993306, 0.287856 ,0.029055, 2.427303
34,50, 0.995200, 0.995428, 0.390324 ,0.029026, 2.500826
35,50, 0.994405, 0.994576, 0.215181 ,0.028997, 2.576521
36,50, 0.994739, 0.994966, 0.186545 ,0.028968, 2.649046
37,50, 0.996261, 0.996492, 0.376687 ,0.028939, 2.723886
38,50, 0.995869, 0.996115, 0.600161 ,0.028910, 2.796989
39,50, 1.020357, 1.020501, 0.397661 ,0.028881, 2.869690
40,50, 1.023940, 1.024230, 0.549088 ,0.028852, 2.942126
41,50, 1.019498, 1.019890, 0.715795 ,0.028823, 3.016363
42,50, 0.998616, 0.998979, 0.467424 ,0.028794, 3.091641
43,50, 1.015323, 1.015641, 0.355276 ,0.028765, 3.165297
44,50, 1.033138, 1.033303, 0.749778 ,0.028737, 3.239794
45,50, 1.010221, 1.010148, 0.527024 ,0.028708, 3.314954
46,50, 1.007051, 1.006931, 0.366665 ,0.028679, 3.388834
47,50, 1.012443, 1.012363, 0.465708 ,0.028651, 3.461436
48,50, 0.998229, 0.998284, 0.426004 ,0.028622, 3.535931
49,50, 0.995659, 0.995759, 0.332765 ,0.028593, 3.611285
50,50, 1.005224, 1.005387, 0.186477 ,0.028565, 3.685623
