iteracion, tot_iter, rss_train, rss_val, grad_norm, lr, tiempo
2,200, 1.304870, 1.304940, 1.292789 ,0.000000, 0.070959
3,200, 1.304870, 1.304940, 1.701666 ,0.000000, 0.142912
4,200, 1.304870, 1.304940, 1.826362 ,0.000000, 0.219631
5,200, 1.304870, 1.304940, 1.320010 ,0.000000, 0.294871
6,200, 1.304870, 1.304940, 1.254494 ,0.000000, 0.369157
7,200, 1.304870, 1.304940, 1.567404 ,0.000000, 0.440995
8,200, 1.304870, 1.304940, 1.658294 ,0.000000, 0.514603
9,200, 1.304870, 1.304940, 1.998561 ,0.000000, 0.587682
10,200, 1.304870, 1.304940, 2.092171 ,0.000000, 0.660138
11,200, 1.304870, 1.304940, 2.332028 ,0.000000, 0.734573
12,200, 1.304870, 1.304940, 1.838474 ,0.000000, 0.809276
13,200, 1.304870, 1.304940, 1.825160 ,0.000000, 0.882668
14,200, 1.304870, 1.304940, 2.306904 ,0.000000, 0.956176
15,200, 1.304870, 1.304940, 1.585051 ,0.000000, 1.028505
16,200, 1.304870, 1.304940, 2.488279 ,0.000000, 1.103600
17,200, 1.304870, 1.304940, 2.201184 ,0.000000, 1.175540
18,200, 1.304870, 1.304940, 2.157232 ,0.000000, 1.250225
19,200, 1.304870, 1.304940, 1.457710 ,0.000000, 1.324021
20,200, 1.304870, 1.304940, 2.073141 ,0.000000, 1.398758
21,200, 1.304870, 1.304940, 1.116940 ,0.000000, 1.472171
22,200, 1.304870, 1.304940, 1.496056 ,0.000000, 1.546344
23,200, 1.304870, 1.304940, 1.233371 ,0.000000, 1.619979
24,200, 1.304870, 1.304940, 1.336460 ,0.000000, 1.692292
25,200, 1.304870, 1.304940, 1.626609 ,0.000000, 1.767785
26,200, 1.304870, 1.304940, 1.484693 ,0.000000, 1.841422
27,200, 1.304870, 1.304940, 1.920651 ,0.000000, 1.914632
28,200, 1.304870, 1.304940, 1.889748 ,0.000000, 1.988399
29,200, 1.304870, 1.304940, 2.187145 ,0.000000, 2.061271
30,200, 1.304870, 1.304940, 1.854313 ,0.000000, 2.133640
31,200, 1.304870, 1.304940, 1.546606 ,0.000000, 2.206560
32,200, 1.304870, 1.304940, 1.827390 ,0.000000, 2.280570
33,200, 1.304870, 1.304940, 1.801167 ,0.000000, 2.354351
34,200, 1.304870, 1.304940, 1.881958 ,0.000000, 2.428125
35,200, 1.304870, 1.304940, 1.680039 ,0.000000, 2.500432
36,200, 1.304870, 1.304940, 1.589867 ,0.000000, 2.573318
37,200, 1.304870, 1.304940, 4.042982 ,0.000000, 2.645862
38,200, 1.304870, 1.304940, 2.856705 ,0.000000, 2.717807
39,200, 1.304870, 1.304940, 1.229567 ,0.000000, 2.791969
40,200, 1.304870, 1.304940, 1.586479 ,0.000000, 2.866553
41,200, 1.304870, 1.304940, 1.020888 ,0.000000, 2.940222
42,200, 1.304870, 1.304940, 1.794078 ,0.000000, 3.014933
