LotFrontage,LotArea,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
65,8450,2003,2003,706,150,856,856,854,1710,548,0,61,0,2,2008,208500
80,9600,1976,1976,978,284,1262,1262,0,1262,460,298,0,0,5,2007,181500
68,11250,2001,2002,486,434,920,920,866,1786,608,0,42,0,9,2008,223500
60,9550,1915,1970,216,540,756,961,756,1717,642,0,35,272,2,2006,140000
84,14260,2000,2000,655,490,1145,1145,1053,2198,836,192,84,0,12,2008,250000
85,14115,1993,1995,732,64,796,796,566,1362,480,40,30,0,10,2009,143000
75,10084,2004,2005,1369,317,1686,1694,0,1694,636,255,57,0,8,2007,307000
70,10382,1973,1973,859,216,1107,1107,983,2090,484,235,204,228,11,2009,200000
51,6120,1931,1950,0,952,952,1022,752,1774,468,90,0,205,4,2008,129900
50,7420,1939,1950,851,140,991,1077,0,1077,205,0,4,0,1,2008,118000
70,11200,1965,1965,906,134,1040,1040,0,1040,384,0,0,0,2,2008,129500
85,11924,2005,2006,998,177,1175,1182,1142,2324,736,147,21,0,7,2006,345000
70,12968,1962,1962,737,175,912,912,0,912,352,140,0,0,9,2008,144000
91,10652,2006,2007,0,1494,1494,1494,0,1494,840,160,33,0,8,2007,279500
70,10920,1960,1960,733,520,1253,1253,0,1253,352,0,213,176,5,2008,157000
51,6120,1929,2001,0,832,832,854,0,854,576,48,112,0,7,2007,132000
70,11241,1970,1970,578,426,1004,1004,0,1004,480,0,0,0,3,2010,149000
72,10791,1967,1967,0,0,0,1296,0,1296,516,0,0,0,10,2006,90000
66,13695,2004,2004,646,468,1114,1114,0,1114,576,0,102,0,6,2008,159000
70,7560,1958,1965,504,525,1029,1339,0,1339,294,0,0,0,5,2009,139000
101,14215,2005,2006,0,1158,1158,1158,1218,2376,853,240,154,0,11,2006,325300
57,7449,1930,1950,0,637,637,1108,0,1108,280,0,0,205,6,2007,139400
75,9742,2002,2002,0,1777,1777,1795,0,1795,534,171,159,0,9,2008,230000
44,4224,1976,1976,840,200,1040,1060,0,1060,572,100,110,0,6,2007,129900
70,8246,1968,2001,188,204,1060,1060,0,1060,270,406,90,0,5,2010,154000
110,14230,2007,2007,0,1566,1566,1600,0,1600,890,0,56,0,7,2009,256300
60,7200,1951,2000,234,180,900,900,0,900,576,222,32,0,5,2010,134800
98,11478,2007,2008,1218,486,1704,1704,0,1704,772,0,50,0,5,2010,306000
47,16321,1957,1997,1277,207,1484,1600,0,1600,319,288,258,0,12,2006,207500
60,6324,1927,1950,0,520,520,520,0,520,240,49,0,87,5,2008,68500
50,8500,1920,1950,0,649,649,649,668,1317,250,0,54,172,7,2008,40000
70,8544,1966,2006,0,1228,1228,1228,0,1228,271,0,65,0,6,2008,149350
85,11049,2007,2007,0,1234,1234,1234,0,1234,484,0,30,0,1,2008,179900
70,10552,1959,1959,1018,380,1398,1700,0,1700,447,0,38,0,4,2010,165500
60,7313,2005,2005,1153,408,1561,1561,0,1561,556,203,47,0,8,2007,277500
108,13418,2004,2005,0,1117,1117,1132,1320,2452,691,113,32,0,9,2006,309000
112,10859,1994,1995,0,1097,1097,1097,0,1097,672,392,64,0,6,2009,145000
74,8532,1954,1990,1213,84,1297,1297,0,1297,498,0,0,0,10,2009,153000
68,7922,1953,2007,731,326,1057,1057,0,1057,246,0,52,0,1,2010,109000
65,6040,1955,1955,0,0,0,1152,0,1152,0,0,0,0,6,2008,82000
84,8658,1965,1965,643,445,1088,1324,0,1324,440,0,138,0,12,2006,160000
115,16905,1959,1959,967,383,1350,1328,0,1328,308,0,104,0,7,2007,170000
70,9180,1983,1983,747,0,840,884,0,884,504,240,0,0,12,2007,144000
70,9200,1975,1980,280,167,938,938,0,938,308,145,0,0,7,2008,130250
70,7945,1959,1959,179,465,1150,1150,0,1150,300,0,0,0,5,2006,141000
61,7658,2005,2005,456,1296,1752,1752,0,1752,576,196,82,0,2,2010,319900
48,12822,2003,2003,1351,83,1434,1518,631,2149,670,168,43,0,8,2009,239686
84,11096,2006,2006,24,1632,1656,1656,0,1656,826,0,146,0,7,2007,249700
33,4456,1920,2008,0,736,736,736,716,1452,0,0,0,102,6,2009,113000
66,7742,1966,1966,763,192,955,955,0,955,386,0,0,0,1,2007,127000
70,13869,1997,1997,182,612,794,794,676,1470,388,0,75,0,7,2007,177000
52,6240,1934,1950,0,816,816,816,0,1176,528,112,0,0,9,2006,114500
110,8472,1963,1963,104,0,816,816,0,816,516,106,0,0,5,2010,110000
68,50271,1981,1987,1810,32,1842,1842,0,1842,894,857,72,0,11,2006,385000
60,7134,1955,1955,384,0,384,1360,0,1360,572,0,50,0,2,2007,130000
100,10175,1964,1964,490,935,1425,1425,0,1425,576,0,0,0,7,2008,180500
24,2645,1999,2000,649,321,970,983,756,1739,480,115,0,0,8,2009,172500
89,11645,2004,2004,0,860,860,860,860,1720,565,0,70,0,8,2006,196500
66,13682,2006,2006,0,1410,1410,1426,1519,2945,641,192,0,37,10,2006,438780
60,7200,1972,1972,632,148,780,780,0,780,352,196,0,0,1,2008,124900
63,13072,2004,2004,941,217,1158,1158,0,1158,576,0,50,0,5,2006,158000
60,7200,1920,1996,0,530,530,581,530,1111,288,0,0,144,3,2007,101000
44,6442,2006,2006,24,1346,1370,1370,0,1370,484,120,49,0,10,2007,202500
50,10300,1921,1950,0,576,576,902,808,1710,480,12,11,64,4,2010,140000
70,9375,1997,1998,739,318,1057,1057,977,2034,645,576,36,0,2,2009,219500
76,9591,2004,2005,0,1143,1143,1143,1330,2473,852,192,151,0,10,2007,317000
70,19900,1970,1989,912,1035,1947,2207,0,2207,576,301,0,0,7,2010,180000
72,10665,2003,2003,1013,440,1453,1479,0,1479,558,144,29,0,6,2007,226000
47,4608,1945,1950,0,747,747,747,0,747,220,0,0,0,6,2010,80000
81,15593,1953,1953,603,701,1304,1304,983,2287,667,0,21,114,7,2006,225000
95,13651,1973,1973,1880,343,2223,2223,0,2223,516,300,0,0,2,2007,244000
69,7599,1982,2006,565,280,845,845,0,845,360,0,0,0,6,2007,129500
74,10141,1998,1998,0,832,832,885,833,1718,427,0,94,0,12,2009,185000
85,10200,1954,2003,320,404,1086,1086,0,1086,490,0,0,0,5,2010,144900
60,5790,1915,1950,0,840,840,840,765,1605,379,0,0,202,5,2010,107400
21,1596,1973,1973,462,0,462,526,462,988,297,120,101,0,11,2009,91000
70,8475,1956,1956,228,724,952,952,0,952,283,0,0,0,4,2008,135750
50,8635,1948,2001,336,295,672,1072,213,1285,240,0,0,0,1,2008,127000
72,10778,1968,1968,0,1768,1768,1768,0,1768,0,0,0,0,4,2010,136500
60,10440,1910,1981,0,440,440,682,548,1230,440,74,0,128,5,2009,110000
100,13000,1968,1968,448,448,896,1182,960,2142,509,0,72,0,6,2009,193500
32,4500,1998,1998,1201,36,1237,1337,0,1337,405,0,199,0,3,2006,153500
78,10206,2007,2007,33,1530,1563,1563,0,1563,758,144,99,0,10,2008,245000
80,8892,1960,1960,0,1065,1065,1065,0,1065,461,74,0,0,7,2007,126500
70,8530,1995,1996,0,384,384,804,670,1474,400,120,72,0,5,2009,168500
121,16059,1991,1992,0,1288,1288,1301,1116,2417,462,127,82,0,4,2006,260000
122,11911,2005,2005,0,684,684,684,876,1560,400,100,38,0,3,2009,174000
40,3951,2009,2009,0,612,612,612,612,1224,528,0,234,0,6,2009,164500
105,8470,1915,1982,0,1013,1013,1013,0,1526,0,0,0,156,10,2009,85000
60,8070,1994,1995,588,402,990,990,0,990,0,0,0,0,8,2007,123600
60,7200,1950,1950,0,0,0,1040,0,1040,420,0,29,0,7,2006,109900
85,8500,1961,1961,600,635,1235,1235,0,1235,480,0,0,0,12,2006,98600
80,13360,1921,2006,713,163,876,964,0,964,432,0,0,44,8,2009,163500
60,7200,1910,1998,1046,168,1214,1260,1031,2291,506,0,0,0,11,2007,133900
69,9337,1997,1997,648,176,824,905,881,1786,684,0,162,0,5,2007,204750
70,9765,1993,1993,310,370,680,680,790,1470,420,232,63,0,4,2009,185000
78,10264,1999,1999,1162,426,1588,1588,0,1588,472,158,29,0,8,2006,214000
73,10921,1965,1965,520,440,960,960,0,960,432,120,0,0,5,2007,94750
85,10625,1920,1950,108,350,458,835,0,835,366,0,0,77,5,2010,83000
77,9320,1959,1959,569,381,950,1225,0,1225,0,352,0,0,1,2010,128950
70,10603,1977,2001,1200,410,1610,1610,0,1610,480,168,68,0,2,2010,205000
77,9206,1985,1985,0,741,741,977,755,1732,476,192,46,0,6,2010,178000
64,7018,1979,1979,0,0,0,1535,0,1535,410,0,0,0,6,2009,118964
94,10402,2009,2009,0,1226,1226,1226,0,1226,740,0,36,0,5,2010,198900
70,7758,1931,1950,224,816,1040,1226,592,1818,240,0,0,0,6,2007,169500
75,9375,2003,2004,0,1053,1053,1053,939,1992,648,140,45,0,8,2008,250000
60,10800,1885,1995,0,641,641,1047,0,1047,273,0,0,0,8,2007,100000
50,6000,1948,1950,104,516,789,789,0,789,250,0,0,0,4,2008,115000
85,8500,1919,2005,0,793,793,997,520,1517,0,0,0,144,8,2007,115000
105,11751,1977,1977,705,1139,1844,1844,0,1844,546,0,122,0,1,2010,190000
75,9525,1954,1972,444,550,994,1216,639,1855,325,182,0,0,10,2006,136900
70,7750,2000,2000,250,134,384,774,656,1430,400,180,0,0,4,2010,180000
77,9965,2007,2007,984,280,1264,1282,1414,2696,792,120,184,0,10,2007,383970
70,21000,1953,1953,35,905,1809,2259,0,2259,450,166,120,192,10,2007,217000
61,7259,1945,2002,774,104,1028,1436,884,2320,180,224,0,0,7,2007,259500
34,3230,1999,1999,419,310,729,729,729,1458,440,0,32,0,6,2007,176000
70,11616,1962,1962,170,252,1092,1092,0,1092,288,0,20,144,9,2009,139000
74,8536,2006,2007,0,1125,1125,1125,0,1125,430,80,64,0,4,2007,155000
90,12376,1990,1990,1470,203,1673,1699,1523,3222,594,367,0,0,5,2010,320000
65,8461,2005,2006,0,728,728,728,728,1456,390,0,24,0,7,2006,163990
70,21453,1969,1969,938,0,938,988,0,988,540,0,130,0,10,2006,180000
50,6060,1939,1950,0,732,732,772,351,1123,264,0,0,140,6,2007,100000
75,9464,1958,1958,570,510,1080,1080,0,1080,288,0,0,0,6,2008,136000
55,7892,1993,1993,300,899,1199,1199,0,1199,530,0,63,0,3,2008,153900
48,17043,1979,1998,0,1362,1362,1586,0,1586,435,192,0,0,1,2009,181000
60,6780,1935,1982,490,30,520,520,0,754,0,53,0,0,6,2006,84500
