LotFrontage,LotArea,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SalePrice
65,8450,2003,2003,706,150,856,856,854,1710,548,0,61,0,2,2008,208500
80,9600,1976,1976,978,284,1262,1262,0,1262,460,298,0,0,5,2007,181500
68,11250,2001,2002,486,434,920,920,866,1786,608,0,42,0,9,2008,223500
60,9550,1915,1970,216,540,756,961,756,1717,642,0,35,272,2,2006,140000
84,14260,2000,2000,655,490,1145,1145,1053,2198,836,192,84,0,12,2008,250000
85,14115,1993,1995,732,64,796,796,566,1362,480,40,30,0,10,2009,143000
75,10084,2004,2005,1369,317,1686,1694,0,1694,636,255,57,0,8,2007,307000
70,10382,1973,1973,859,216,1107,1107,983,2090,484,235,204,228,11,2009,200000
51,6120,1931,1950,0,952,952,1022,752,1774,468,90,0,205,4,2008,129900
50,7420,1939,1950,851,140,991,1077,0,1077,205,0,4,0,1,2008,118000
70,11200,1965,1965,906,134,1040,1040,0,1040,384,0,0,0,2,2008,129500
85,11924,2005,2006,998,177,1175,1182,1142,2324,736,147,21,0,7,2006,345000
70,12968,1962,1962,737,175,912,912,0,912,352,140,0,0,9,2008,144000
91,10652,2006,2007,0,1494,1494,1494,0,1494,840,160,33,0,8,2007,279500
70,10920,1960,1960,733,520,1253,1253,0,1253,352,0,213,176,5,2008,157000
51,6120,1929,2001,0,832,832,854,0,854,576,48,112,0,7,2007,132000
70,11241,1970,1970,578,426,1004,1004,0,1004,480,0,0,0,3,2010,149000
