CVE_ENT,NOM_ENT,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,OVSDSE,IM,GM,IND0A100,LUGAR,AÑO
1,Aguascalientes,719659,7.06,33.85,10.88,4.97,4.18,51.03,7.45,26.97,62.53,-,-0.89,Bajo,-,27,1990
2,Baja California,1660855,4.68,24.01,4.89,10.49,19.59,45.43,8.13,11.95,39.96,-,-1.34,Muy bajo,-,30,1990
3,Baja California Sur,317764,5.39,27.77,7.03,11.1,10.17,48.6,13.99,25.6,54.06,-,-0.97,Bajo,-,28,1990
4,Campeche,535185,15.4,44.82,24.8,15.02,29.52,65.03,24.16,36.21,68.07,-,0.48,Alto,-,10,1990
5,Coahuila de Zaragoza,1972340,5.48,28.18,10.81,5.24,7.76,50,8.48,17.13,60.89,-,-1.05,Bajo,-,29,1990
6,Colima,428510,9.3,36.02,8.37,5.82,6.61,56.03,21.13,22.39,50.4,-,-0.76,Bajo,-,23,1990
7,Chiapas,3210496,30.12,62.08,42.66,34.92,42.09,74.07,50.9,66.56,80.08,-,2.36,Muy alto,-,1,1990
8,Chihuahua,2441873,6.12,30.86,14.1,13.23,11.96,47.76,9.58,25.57,52.81,-,-0.87,Bajo,-,26,1990
9,Distrito Federal,8235744,4,16.77,1.81,0.76,3.33,45.58,2.45,0.32,60.47,-,-1.69,Muy bajo,-,32,1990
10,Durango,1349378,6.99,39.49,32.38,13.73,14.98,53.47,20.04,49.29,67.65,-,0.01,Alto,-,15,1990
11,Guanajuato,3982593,16.57,46.91,31.11,12.5,16.77,59.56,16.71,40.82,61.32,-,0.21,Alto,-,13,1990
12,Guerrero,2620637,26.87,50.36,50.48,22.63,44.03,69.64,49.83,56.13,67.81,-,1.75,Muy alto,-,3,1990
13,Hidalgo,1888366,20.69,45.73,42.78,22.6,29.86,63.5,29.9,62.88,73.7,-,1.17,Muy alto,-,4,1990
14,Jalisco,5302689,8.9,35.92,11.98,7.87,13.76,48.82,13.21,23.02,55.49,-,-0.77,Bajo,-,24,1990
15,México,9815795,9.03,28.74,16.17,6.44,14.72,58.61,12.8,21.3,62.73,-,-0.6,Bajo,-,21,1990
16,Michoacán de Ocampo,3548199,17.32,48.56,24.48,13.13,20.85,58.33,28.7,46.34,59.98,-,0.36,Alto,-,12,1990
17,Morelos,1195059,11.95,33.98,19.6,3.96,11.37,56.68,21.76,26.56,59.5,-,-0.46,Bajo,-,20,1990
18,Nayarit,824643,11.34,41.67,18.24,8.67,16.11,58.91,21.63,48.76,53.63,-,-0.13,Medio,-,17,1990
19,Nuevo León,3098736,4.65,23.18,4.21,3.55,6.7,47.63,6.1,9.48,58.74,-,-1.38,Muy bajo,-,31,1990
