PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,IM,GM
-1.005,-1.215,-0.573,-1.164,1.058,1.187,0.1,0.477,-0.25,-0.97,Bajo
-1.902,-0.219,-1.491,-1.856,1.265,1.133,-0.264,0.834,-0.78,-1.27,Muy bajo
-1.257,-0.014,-0.264,-1.327,0.959,0.964,-0.188,0.472,-0.361,-0.8,Bajo
-0.159,0.329,0.78,1.326,-1.197,-0.423,-0.609,0.28,0.615,0.7,Alto
-1.641,-0.975,-0.959,-1.702,0.941,1.209,0.214,0.714,-0.601,-1.2,Muy bajo
-0.633,-0.78,-0.478,-0.55,0.324,1.104,0.657,0.712,-0.428,-0.69,Bajo
2.997,2.369,1.642,3.339,-2.216,-2.267,-0.29,-0.551,0.287,2.25,Muy alto
-1.594,-0.033,-0.342,-0.8,1.059,1.121,-0.212,-0.013,-0.527,-0.78,Bajo
-2.519,-1.582,-0.977,-1.984,0.917,1.196,1.06,0.625,-0.477,-1.53,Muy bajo
-0.209,0.142,0.586,-0.289,0.811,0.903,-0.272,-0.027,0.273,-0.11,Medio
0.677,-0.535,-0.526,0.358,0.163,0.132,-0.339,0.299,-0.316,0.08,Alto
2.604,2.668,0.858,2.175,-1.755,-2.915,0.193,-1.701,-0.215,2.12,Muy alto
1.465,0.362,1.04,1.061,-0.114,-1.265,-0.2,-0.969,0.333,0.88,Muy alto
-1.029,-0.561,-0.92,-0.672,0.899,0.969,0.232,0.789,-0.188,-0.76,Bajo
-1.086,-1.066,-0.409,-1.013,-0.214,0.353,0.211,0.764,0.067,-0.6,Bajo
1.272,0.157,0.007,1.132,0.086,-0.091,0.209,0.212,0.015,0.45,Alto
-0.18,-0.704,-0.35,-0.483,-0.009,0.162,0.889,0.449,-0.115,-0.36,Medio
0.505,-0.226,0.226,0.161,0.368,0.124,-0.008,-0.254,0.344,0.06,Alto
-2.055,-0.863,-1.328,-2.02,1.039,1.172,0.189,0.845,-0.743,-1.39,Muy bajo
2.911,2.706,1.636,2.706,-1.595,-2.481,-0.074,-1.38,0.121,2.08,Muy alto
1.466,0.386,0.193,0.817,-1.127,-1.251,0.43,-0.493,0.156,0.72,Alto
0.063,-0.207,0.105,-0.511,0.681,-0.038,-0.643,-0.364,-0.583,-0.11,Medio
-0.689,-0.358,-0.384,-0.78,-0.759,0.362,-0.593,0.609,-0.565,-0.36,Medio
-0.147,1.859,1.222,1.37,0.344,-0.303,-0.264,0.01,0.654,0.72,Alto
0.434,-0.3,-0.082,-0.436,0.01,0.305,-0.178,0.263,0.048,-0.1,Medio
-0.937,-0.346,-0.291,-1.278,0.32,1.076,0.186,0.579,-0.417,-0.76,Bajo
1.031,0.623,0.098,0.338,-0.52,-1.691,-0.542,-0.971,1.597,0.66,Alto
-1.269,-0.44,-0.247,-0.747,0.148,0.873,0.156,-0.065,-0.331,-0.69,Bajo
0.498,-1.656,0.313,-0.825,-1.067,-0.292,0.168,-0.675,0.15,-0.18,Medio
0.622,2.286,1.181,2.178,-0.56,-1.331,-0.055,0.155,1.256,1.28,Muy alto
0.109,-1.349,0.017,1.312,-0.811,0.17,-0.076,0.317,0.398,0.38,Alto
1.655,-0.46,-0.282,0.163,0.554,-0.167,-0.088,-1.942,0.584,0.3,Alto
