PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,GM,IM
0.27,-0.114,-0.261,-1.613,0.324,-0.846,-1.391,0.568,0.29,Bajo,-0.89
-0.335,-0.96,-1.055,-1.758,0.792,-0.626,-1.423,-0.091,0.652,Muy bajo,-1.1
-0.653,-1.395,-1.212,-0.916,0.827,-0.286,-0.266,-0.324,0.042,Bajo,-0.6
-0.778,0.424,0.528,1.182,-0.02,0.123,0.655,-0.498,0.481,Alto,0.46
-0.259,-0.628,-0.688,-1.726,0.811,-0.667,-1.554,0.304,0.802,Muy bajo,-1.1
-0.287,0.037,-0.729,-1.351,0.138,0.004,-1.317,0.092,0.426,Bajo,-0.73
-0.084,2.235,0.304,3.807,-1.097,2.119,3.455,-0.362,-1.884,Muy alto,2.41
-0.281,-0.965,-0.243,-0.2,0.356,-0.785,-1.642,-0.002,-0.457,Bajo,-0.6
0.01,-0.938,-0.98,-2.138,1.361,-0.53,-2.333,0.602,0.821,Muy bajo,-1.45
-0.222,-1.289,0.566,0.912,-0.562,-0.802,-0.635,0.151,-0.977,Medio,0.05
0.82,0.304,0.212,-0.346,-0.286,-0.14,-0.246,-0.338,0.219,Medio,-0.07
0.856,-0.57,2.043,4.305,-1.295,3.329,3.821,-0.693,-0.045,Muy alto,2.56
1.083,0.8,0.48,0.634,-0.641,-0.645,0.959,0.372,-0.363,Alto,0.5
0.227,-0.268,-0.641,-1.558,0.238,-0.292,-1.35,-0.092,0.356,Bajo,-0.82
-0.3,-0.121,-0.174,-0.955,0.798,-0.211,-0.605,0.348,0.71,Bajo,-0.57
0.719,1.109,0.128,0.146,-0.991,0.857,0.393,-0.175,-0.676,Alto,0.5
0.201,0.317,-0.223,-0.616,0.704,0.279,-0.16,0.444,-0.11,Medio,-0.2
-0.091,-0.889,0.643,1.257,-0.789,-0.578,-0.127,-0.368,-0.6,Medio,0.31
-0.467,-1.199,-1.408,-2.278,0.715,-0.72,-1.653,-0.035,1.266,Muy bajo,-1.39
0.118,0.828,-0.44,3.317,-1.587,1.658,3.317,-0.433,-2.225,Muy alto,2.12
-0.05,1.548,0.226,0.778,-0.036,0.825,1.04,0.351,-0.476,Alto,0.69
0.574,-0.667,-0.282,-0.946,-0.357,-1.031,-0.237,-0.053,0.713,Bajo,-0.49
-1.55,-0.265,-0.382,-0.168,0.187,-0.113,-0.465,-0.212,1.17,Medio,-0.37
0.53,-0.525,0.041,1.239,0.243,-0.097,0.776,-0.386,-1.62,Alto,0.58
-0.233,0.119,0.075,-0.811,-0.328,-0.185,-0.025,-0.035,0.607,Medio,-0.24
-0.704,-0.816,-0.503,-0.876,0.411,-0.528,-1.048,0.246,0.288,Bajo,-0.7
0.308,0.495,0.049,-0.456,0.223,-0.442,1.942,-0.027,-0.009,Medio,0.3
-0.728,0.161,-0.311,-0.827,0.733,-0.256,-1.148,0.258,0.278,Bajo,-0.62
-0.366,1.134,0.711,-0.384,0.229,-0.495,-0.389,1.401,0.245,Medio,-0.2
0.578,1.005,-0.069,1.446,0.191,0.818,2.049,-0.605,-1.574,Alto,1.14
0.113,0.521,2.33,1.395,-0.793,0.866,-0.312,-0.53,1.735,Alto,0.51
0.984,0.57,1.266,-0.494,-0.499,-0.602,-0.083,0.123,-0.087,Medio,0.01
